section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,1920058.1993437503,-1811455.7262421884,0.48544793410029835,134913.84537500003,0.036155257106220036,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2519021.798078125,-1670513.3053125003,0.3987347674830413,112482.8141953121,0.026848519327187122,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,4302017.917585937,112482.8141953121,0.026848519327187122,112482.8141953121,0.026848519327187122,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,3536042.6741171875,-653492.4292734377,0.155982087068458,112482.8141953121,0.026848519327187122,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2960585.1177109373,-1228949.985679688,0.293338032824952,112482.8141953121,0.026848519327187122,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_compute,remove compute->compute dependency,2410239.575593751,-1779295.5277968743,0.42469999269295433,112482.8141953121,0.026848519327187122,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,2302895.73390625,-1886639.3694843752,0.45032189083640867,-31057.762046874035,0.007413176230875529,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,4158477.341343751,-31057.762046874035,0.007413176230875529,-31057.762046874035,0.007413176230875529,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,3320703.3061796874,-868831.7972109378,0.20738143392277228,-31057.762046874035,0.007413176230875529,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2797400.8650625,-1392134.2383281253,0.3322884768769355,-31057.762046874035,0.007413176230875529,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,2198366.750640625,-1991168.35275,0.4752719105130617,-31057.762046874035,0.007413176230875529,,,,
summary_by_mode,,,between_compute_and_communication,,,,,,,12,0.3778483055761466,0.31992651146037987,0.45032189083640867
summary_by_mode,,,communication_to_communication,,,,,,,12,0.03665245352728914,0.002822231227389154,0.06984765851196359
summary_by_mode,,,communication_to_compute,,,,,,,12,0.1670344955259398,0.12174234142382716,0.24851080868570724
summary_by_mode,,,compute_to_communication,,,,,,,12,0.24756766070375757,0.18649970812611974,0.3322884768769355
summary_by_mode,,,compute_to_compute,,,,,,,12,0.4254451809663299,0.3818569280831075,0.48544793410029835
summary_by_variant_mode,,START_3_para,between_compute_and_communication,,,,,,,6,0.3795067615791278,0.31992651146037987,0.4495674801743541
summary_by_variant_mode,,START_3_para,communication_to_communication,,,,,,,6,0.04265146947625793,0.026848519327187122,0.061861033818267165
summary_by_variant_mode,,START_3_para,communication_to_compute,,,,,,,6,0.17167946635790482,0.12174234142382716,0.24851080868570724
summary_by_variant_mode,,START_3_para,compute_to_communication,,,,,,,6,0.2519615027760394,0.18649970812611974,0.29341049870884406
summary_by_variant_mode,,START_3_para,compute_to_compute,,,,,,,6,0.42601779722307603,0.38569798371007014,0.4677537318776838
summary_by_variant_mode,,START_5_para,between_compute_and_communication,,,,,,,6,0.3761898495731654,0.3325539041815146,0.45032189083640867
summary_by_variant_mode,,START_5_para,communication_to_communication,,,,,,,6,0.030653437578320345,0.002822231227389154,0.06984765851196359
summary_by_variant_mode,,START_5_para,communication_to_compute,,,,,,,6,0.16238952469397477,0.12397663745598153,0.20738143392277228
summary_by_variant_mode,,START_5_para,compute_to_communication,,,,,,,6,0.2431738186314757,0.1920966954035256,0.3322884768769355
summary_by_variant_mode,,START_5_para,compute_to_compute,,,,,,,6,0.42487256470958373,0.3818569280831075,0.48544793410029835
